Dates,ABBV,NASDAQ,SPX,DJI,10Y Yield,ABBVP,NASDAQP,SPXP,DJIP
10/12/12,0,0,0,0,1.63,0,0,0,0
11/12/12,0.0091,0.0118,0.0066,0.0060,1.66,0.91,1.18,0.66,0.6
12/12/12,-0.0555,-0.0028,0.0004,-0.0003,1.72,-4.69,0.9,0.7,0.57
13/12/12,0.0132,-0.0072,-0.0064,-0.0056,1.74,-3.43,0.17,0.06,0.01
14/12/12,-0.0236,-0.0069,-0.0041,-0.0027,1.72,-5.71,-0.52,-0.35,-0.26
17/12/12,0.0121,0.0132,0.0118,0.0076,1.78,-4.57,0.79,0.83,0.5
18/12/12,0.0308,0.0146,0.0115,0.0087,1.84,-1.63,2.26,1.99,1.37
19/12/12,-0.0052,-0.0033,-0.0075,-0.0074,1.82,-2.14,1.92,1.22,0.62
20/12/12,0.0020,0.0020,0.0054,0.0046,1.81,-1.94,2.12,1.77,1.08
21/12/12,0.0300,-0.0096,-0.0093,-0.0091,1.77,1,1.14,0.82,0.16
24/12/12,-0.0029,-0.0028,-0.0025,-0.0039,1.79,0.71,0.86,0.57,-0.23
26/12/12,-0.0099,-0.0074,-0.0048,-0.0019,1.77,-0.29,0.11,0.09,-0.42
27/12/12,0.0020,-0.0015,-0.0012,-0.0014,1.74,-0.09,-0.04,-0.03,-0.56
28/12/12,-0.0128,-0.0085,-0.0111,-0.0121,1.73,-1.37,-0.89,-1.14,-1.76
31/12/12,-0.0104,0.0200,0.0170,0.0128,1.78,-2.4,1.09,0.54,-0.5
2/1/13,0.0281,0.0307,0.0254,0.0235,1.86,0.34,4.19,3.09,1.84
3/1/13,-0.0083,-0.0037,-0.0020,-0.0016,1.92,-0.49,3.8,2.88,1.68
4/1/13,-0.0126,0.0004,0.0049,0.0032,1.93,-1.74,3.84,3.38,2.01
7/1/13,0.0020,-0.0010,-0.0031,-0.0037,1.92,-1.54,3.74,3.06,1.63
8/1/13,-0.0218,-0.0022,-0.0033,-0.0041,1.89,-3.69,3.51,2.72,1.21
9/1/13,0.0057,0.0045,0.0026,0.0046,1.88,-3.14,3.98,2.99,1.68
10/1/13,0.0029,0.0051,0.0077,0.0060,1.91,-2.86,4.51,3.78,2.29
11/1/13,-0.0044,0.0012,-0.0001,0.0013,1.89,-3.29,4.64,3.77,2.42
14/1/13,0.0071,-0.0026,-0.0009,0.0014,1.89,-2.6,4.37,3.68,2.56
15/1/13,0.0150,-0.0021,0.0011,0.0020,1.86,-1.14,4.15,3.79,2.77
16/1/13,0.0271,0.0021,0.0002,-0.0018,1.84,1.54,4.37,3.81,2.59
17/1/13,0.0248,0.0059,0.0057,0.0063,1.89,4.06,4.99,4.4,3.24
18/1/13,0.0247,-0.0004,0.0034,0.0039,1.87,6.63,4.95,4.75,3.64
22/1/13,-0.0241,0.0027,0.0045,0.0046,1.86,4.06,5.23,5.22,4.12
23/1/13,0.0379,0.0033,0.0015,0.0049,1.86,8,5.58,5.38,4.63
24/1/13,-0.0090,-0.0074,0.0000,0.0033,1.88,7.03,4.8,5.38,4.98
25/1/13,0.0037,0.0062,0.0054,0.0050,1.98,7.43,5.45,5.95,5.51
28/1/13,-0.0189,0.0014,-0.0019,-0.0009,2.00,5.4,5.6,5.75,5.41
29/1/13,0.0114,-0.0002,0.0051,0.0052,2.03,6.6,5.58,6.29,5.96
30/1/13,-0.0102,-0.0036,-0.0039,-0.0032,2.03,5.51,5.2,5.88,5.62
31/1/13,-0.0064,-0.0001,-0.0026,-0.0036,2.02,4.83,5.19,5.61,5.24
1/2/13,0.0134,0.0118,0.0100,0.0108,2.04,6.23,6.43,6.67,6.38
4/2/13,0.0026,-0.0150,-0.0115,-0.0093,2.00,6.51,4.83,5.44,5.39
5/2/13,-0.0021,0.0129,0.0104,0.0072,2.04,6.29,6.18,6.54,6.15
6/2/13,-0.0017,-0.0009,0.0006,0.0005,2.00,6.11,6.08,6.6,6.2
7/2/13,-0.0193,-0.0011,-0.0019,-0.0030,1.99,4.06,5.96,6.4,5.88
8/2/13,-0.0047,0.0092,0.0057,0.0035,1.99,3.57,6.93,7.01,6.25
11/2/13,-0.0110,-0.0007,-0.0007,-0.0016,1.99,2.43,6.86,6.94,6.08
12/2/13,-0.0120,-0.0017,0.0016,0.0035,2.02,1.2,6.68,7.11,6.45
13/2/13,-0.0042,0.0033,0.0007,-0.0026,2.05,0.77,7.03,7.18,6.17
14/2/13,0.0369,0.0006,0.0007,-0.0007,2.00,4.49,7.09,7.25,6.1
15/2/13,0.0276,-0.0021,-0.0010,0.0006,2.01,7.37,6.87,7.14,6.16
19/2/13,0.0162,0.0067,0.0073,0.0039,2.03,9.11,7.59,7.92,6.57
20/2/13,0.0110,-0.0153,-0.0124,-0.0077,2.02,10.31,5.94,6.58,5.75
21/2/13,0.0044,-0.0104,-0.0063,-0.0033,1.99,10.8,4.84,5.91,5.4
22/2/13,-0.0082,0.0096,0.0088,0.0086,1.97,9.89,5.85,6.84,6.31
25/2/13,-0.0284,-0.0144,-0.0183,-0.0155,1.88,6.77,4.33,4.89,4.66
