Dates,ABBV,NASDAQ,SPX,DJI
10/12/12,0,0,0,0
11/12/12,0.0091,0.0118,0.0066,0.006
12/12/12,-0.055494996,-0.002767345,0.000397377,-0.000298211
13/12/12,0.013220019,-0.007234886,-0.006355511,-0.005568261
14/12/12,-0.023609817,-0.00688829,-0.004097541,-0.00269973
17/12/12,0.01209036,0.013168476,0.011841445,0.007619812
18/12/12,0.030807922,0.01458478,0.011504513,0.008656716
19/12/12,-0.005184507,-0.003324858,-0.00754976,-0.007398639
20/12/12,0.002043736,0.001962323,0.005433709,0.004571656
21/12/12,0.029981644,-0.009596553,-0.009334774,-0.009101702
24/12/12,-0.002871287,-0.00276844,-0.002479667,-0.00389377
26/12/12,-0.009929501,-0.00743605,-0.004772795,-0.00190438
27/12/12,0.002005817,-0.001498352,-0.001198921,-0.001405905
28/12/12,-0.01281153,-0.008503401,-0.011103331,-0.012067578
31/12/12,-0.01044307,0.019977802,0.016993729,0.012825733
2/1/13,0.02807377,0.030665743,0.02536304,0.023517588
3/1/13,-0.008271876,-0.003743162,-0.002037055,-0.001571092
4/1/13,-0.012561552,0.000385356,0.004860031,0.003245476
7/1/13,0.002035416,-0.00096302,-0.003095376,-0.003725125
8/1/13,-0.021836279,-0.002217081,-0.003299049,-0.004132638
9/1/13,0.005710726,0.004540624,0.002628505,0.00464381
10/1/13,0.00289077,0.005097134,0.007670648,0.005999213
11/1/13,-0.004426601,0.0012439,-9.63577E-05,0.001270896
14/1/13,0.007134733,-0.002580275,-0.000867303,0.001366921
15/1/13,0.014989733,-0.002107885,0.001060957,0.002047582
16/1/13,0.027109043,0.002112338,0.000192697,-0.001751484
17/1/13,0.024817806,0.005940404,0.00568346,0.0063359
18/1/13,0.02469729,-0.000380989,0.00335249,0.003874467
22/1/13,-0.024102035,0.002667937,0.004486874,0.004631416
23/1/13,0.037862771,0.003326048,0.001520623,0.004898194
24/1/13,-0.008981481,-0.007387763,0,0.003345121
25/1/13,0.00373727,0.00620229,0.005408996,0.005048581
28/1/13,-0.018896025,0.001422475,-0.001887683,-0.000947777
29/1/13,0.011385199,-0.000189394,0.005106383,0.005217721
30/1/13,-0.010225141,-0.003599167,-0.003857371,-0.003208758
31/1/13,-0.006444887,-9.5057E-05,-0.002550057,-0.003597803
1/2/13,0.013354956,0.011788193,0.010036928,0.010832383
4/2/13,0.00263579,-0.015033355,-0.01153089,-0.009306261
5/2/13,-0.002065534,0.012877993,0.010432473,0.00721131
6/2/13,-0.00169348,-0.000941797,0.000563169,0.000471032
7/2/13,-0.019319574,-0.001131222,-0.001876173,-0.003013183
8/2/13,-0.004708822,0.009154398,0.005733083,0.003494522
11/2/13,-0.011007048,-0.000654634,-0.000654144,-0.0016
12/2/13,-0.012008201,-0.001684447,0.001589676,0.003487934
13/2/13,-0.004249012,0.00328084,0.000653534,-0.002630343
14/2/13,0.036915749,0.00056059,0.000653107,-0.00065932
15/2/13,0.027562446,-0.002054347,-0.001025641,0.000565504
19/2/13,0.016205644,0.006737157,0.007280194,0.003862095
20/2/13,0.010998075,-0.015335998,-0.012416605,-0.007694473
21/2/13,0.004442027,-0.010383236,-0.006286358,-0.003309693
