Dates,ABBV,NASDAQ,SPX,DJI,10Y Yield,ABBVP,NASDAQP,SPXP,DJIP
31/01/2013,0.00000,0.00000,0.00000,0.00000,2.02,0,0,0,0
28/02/2013,0.00627,0.00575,0.01106,0.01399,1.89,0.626873808,0.574769344,1.105882197,1.398992725
28/03/2013,0.10455,0.03396,0.03599,0.03729,1.87,11.14745162,3.990605099,4.744304693,5.179874451
30/04/2013,0.12923,0.01875,0.01809,0.01792,1.70,25.51103843,5.940556247,6.638676937,7.064774748
31/05/2013,-0.07296,0.03819,0.02077,0.01858,2.16,16.35322976,9.986219539,8.853213807,9.054391729
28/06/2013,-0.03162,-0.01524,-0.01500,-0.01363,2.52,12.67375307,8.310286334,7.220205151,7.568412129
31/07/2013,0.10015,0.06556,0.04946,0.03957,2.60,23.9574816,15.41120196,12.52337775,11.82467435
30/08/2013,-0.06310,-0.01007,-0.03129,-0.04447,2.78,16.1351867,14.24956956,9.002018784,6.852017043
30/09/2013,0.04975,0.05059,0.02975,0.02156,2.64,21.91332788,20.0294068,12.24446958,9.156123137
31/10/2013,0.08317,0.03930,0.04460,0.02750,2.57,32.05233034,24.74690735,17.25063903,12.15800571
29/11/2013,0.00000,0.03576,0.02805,0.03478,2.75,32.05233034,29.20821226,20.53931774,16.05873876
31/12/2013,0.08999,0.02874,0.02356,0.03048,3.04,43.9356773,32.92225338,23.37914966,19.59576169
31/01/2014,-0.06779,-0.01741,-0.03558,-0.05295,2.67,34.1782502,30.60821799,18.98898382,13.26257248
28/02/2014,0.03413,0.04977,0.04312,0.03968,2.66,38.75715454,37.10826732,24.11960559,17.7563615
31/03/2014,0.00962,-0.02533,0.00693,0.00833,2.73,40.0926683,33.63514559,24.97974264,18.7372205
30/04/2014,0.01323,-0.02011,0.00620,0.00748,2.67,41.94603434,30.94779656,25.75504913,19.62587782
30/05/2014,0.04320,0.03113,0.02103,0.00822,2.48,48.0784955,35.02369412,28.399882,20.60951676
30/06/2014,0.03884,0.03902,0.01906,0.00655,2.53,53.8293813,40.29273136,30.84686901,21.39902253
31/07/2014,-0.07264,-0.00871,-0.01508,-0.01565,2.58,42.6546743,39.07031218,28.87389297,19.4993901
29/08/2014,0.05617,0.04817,0.03765,0.03231,2.35,50.66775688,45.76958942,33.72625894,23.3602772
30/09/2014,0.04486,-0.01897,-0.01552,-0.00325,2.52,57.42709185,43.00458606,31.65147597,22.95950108
31/10/2014,0.09868,0.03057,0.02321,0.02040,2.35,72.96266013,47.37582468,34.7066141,25.46747923
28/11/2014,0.09045,0.03474,0.02453,0.02517,2.18,88.60724993,52.49623663,38.01127869,28.62550232
31/12/2014,-0.05434,-0.01160,-0.00419,-0.00029,2.17,78.35922595,50.72737283,37.43323967,28.58820466
30/01/2015,-0.07778,-0.02129,-0.03104,-0.03693,1.68,64.48623603,47.51903963,33.16706914,23.84005022
27/02/2015,0.00249,0.07082,0.05489,0.05638,2.03,64.89506678,57.96704783,40.47713113,30.82212608
31/03/2015,-0.03240,-0.01262,-0.01740,-0.01966,1.94,59.55301172,55.97349569,38.03298578,28.24951462
30/04/2015,0.10454,0.00827,0.00852,0.00362,2.05,76.23330608,57.26370328,39.20956171,28.71409781
29/05/2015,0.02985,0.02602,0.01049,0.00954,2.12,81.49359499,61.35646838,40.6697957,29.94175289
30/06/2015,0.00901,-0.01640,-0.02101,-0.02172,2.35,83.12891796,58.70985605,37.71422377,27.11959052
31/07/2015,0.04197,0.02836,0.01974,0.00399,2.20,90.81493595,63.21030638,40.43254937,27.62715498
31/08/2015,-0.10856,-0.06859,-0.06258,-0.06568,2.21,70.10084492,52.01503439,31.64477043,19.24487017
30/09/2015,-0.12818,-0.03273,-0.02645,-0.01472,2.06,48.29653857,47.03911041,28.16317663,17.48936233
30/10/2015,0.09447,0.09385,0.08298,0.08467,2.16,62.3058054,60.83834851,38.79879,27.43724007
30/11/2015,-0.02351,0.01087,0.00050,0.00319,2.21,58.49005179,62.58588919,38.86867742,27.84406286
31/12/2015,0.01874,-0.01982,-0.01753,-0.01664,2.27,61.46088853,59.36355275,36.43428052,25.71647511
29/01/2016,-0.07326,-0.07858,-0.05073,-0.05502,1.94,49.63205233,46.84147378,29.51241759,18.79951826
29/02/2016,-0.00528,-0.01214,-0.00413,0.00305,1.74,48.84164623,45.05924325,28.97752509,19.16168329
31/03/2016,0.04596,0.06843,0.06599,0.07075,1.78,55.68274734,54.98563077,37.48923004,27.59276666
29/04/2016,0.06793,-0.01940,0.00270,0.00501,1.83,66.25783592,51.97843501,37.86003865,28.23161985
31/05/2016,0.03164,0.03616,0.01533,0.00076,1.84,71.51812483,57.47438839,39.97389374,28.32944888
30/06/2016,-0.01621,-0.02130,0.00090,0.00803,1.49,68.73807577,54.12061245,40.10012148,29.35961817
29/07/2016,0.06978,0.06597,0.03561,0.02801,1.46,80.5124012,64.28760109,45.08964743,32.98324484
31/08/2016,-0.03216,0.00990,-0.00122,-0.00170,1.58,74.70700463,65.91356818,44.91229726,32.75695346
30/09/2016,-0.01607,0.01895,-0.00123,-0.00504,1.60,71.89970019,69.05729553,44.73374786,32.08796102
31/10/2016,-0.11559,-0.02313,-0.01943,-0.00905,1.84,52.03052603,65.14720906,41.92228765,30.89227292
30/11/2016,0.09000,0.02593,0.03417,0.05408,2.37,65.71272826,69.4290179,46.77220569,37.97104293
30/12/2016,0.02993,0.01117,0.01820,0.03342,2.45,70.67320796,71.3207283,49.44331849,42.58135933
31/01/2017,-0.02411,0.04304,0.01788,0.00514,2.45,66.55764513,78.69375233,52.11603172,43.31359477
28/02/2017,0.01195,0.03752,0.03720,0.04773,2.36,68.54728809,85.3978034,57.77457843,50.15421533
31/03/2017,0.05369,0.01481,-0.00039,-0.00716,2.40,77.59607522,88.14434794,57.71316931,49.07908421
28/04/2017,0.01197,0.02298,0.00909,0.01342,2.29,79.72199509,92.46848475,59.14679462,51.0796384
31/05/2017,0.00121,0.02495,0.01158,0.00325,2.21,79.94003816,97.27127776,60.98923539,51.57125396
30/06/2017,0.09830,-0.00937,0.00481,0.01623,2.31,97.62878168,95.42221359,61.76431596,54.03130811
31/07/2017,-0.03586,0.03383,0.01935,0.02536,2.30,90.54238212,102.0323793,64.89433347,57.93804606
31/08/2017,0.07710,0.01269,0.00055,0.00260,2.12,105.2330335,104.5956087,64.98445915,58.3491256
29/09/2017,0.18008,0.01047,0.01930,0.02082,2.33,142.1913328,106.7374679,68.16910076,61.64615111
31/10/2017,0.01564,0.03567,0.02219,0.04339,2.38,145.979831,114.1117649,71.90074424,68.65996805
30/11/2017,0.07391,0.02175,0.02808,0.03829,2.42,164.1591714,118.7678422,76.72789661,75.11790561
29/12/2017,-0.00217,0.00428,0.00983,0.01841,2.40,163.5868084,119.7041497,78.4654579,78.34190674
31/01/2018,0.16038,0.07360,0.05618,0.05786,2.72,205.8599073,135.8743909,88.49137866,88.66020066
28/02/2018,0.03217,-0.01868,-0.03895,-0.04284,2.87,215.6991006,131.4675077,81.15017336,80.57834019
29/03/2018,-0.18285,-0.02881,-0.02689,-0.03700,2.74,157.9721995,124.7981465,76.27973639,73.89685865
30/04/2018,0.02007,0.00040,0.00272,0.00249,2.95,163.1507223,124.8878945,76.75923188,74.33003723
31/05/2018,0.02475,0.05319,0.02161,0.01046,2.83,169.6647588,136.8495256,80.57906831,76.15316267
29/06/2018,-0.06357,0.00916,0.00484,-0.00592,2.85,152.5211229,139.0193913,81.45341701,75.11110898
31/07/2018,-0.00453,0.02150,0.03602,0.04712,2.96,151.3763968,144.1588986,87.98932596,83.36312212
31/08/2018,0.04066,0.05706,0.03026,0.02163,2.86,161.5971654,158.0905309,93.67842712,87.3285499
28/09/2018,-0.01459,-0.00779,0.00429,0.01901,3.05,157.7814118,156.0794748,94.51017213,90.88892289
31/10/2018,-0.17689,-0.09202,-0.06940,-0.05074,3.15,112.1831562,132.5142499,81.01092262,81.20282986
30/11/2018,0.21092,0.00337,0.01786,0.01683,3.01,156.936495,133.2984313,84.24365042,84.25248157
31/12/2018,-0.02206,-0.09484,-0.09178,-0.08658,2.69,151.2673753,111.1714028,67.33388295,68.30075827
31/01/2019,-0.12908,0.09743,0.07869,0.07168,2.63,118.8334696,131.7453447,80.50069148,80.36532525
