Dates,ABBV,NASDAQ,SPX,DJI,10Y Yield,ABBVP,NASDAQP,SPXP,DJIP
14/12/2012,0,0,0,0,1.72,0,0,0,0
21/12/2012,0.0712,0.0167,0.0117,0.0043,1.77,7.12,1.67,1.17,0.43
28/12/2012,-0.023431665,-0.020064916,-0.019373332,-0.019217365,1.73,4.61,-0.37,-0.79,-1.5
4/1/2013,-0.003823726,0.047776774,0.04566072,0.038477157,1.93,4.21,4.39,3.74,2.29
11/1/2013,-0.015641493,0.007663569,0.003855793,0.003910451,1.89,2.58,5.19,4.14,2.69
18/1/2013,0.102456619,0.002947048,0.009410409,0.011977797,1.87,13.09,5.5,5.12,3.92
25/1/2013,0.007516138,0.004739336,0.011415525,0.017994611,1.98,13.94,6,6.32,5.79
1/2/2013,-0.011146217,0.009339623,0.006866065,0.00822384,2.04,12.67,6.99,7.05,6.66
8/2/2013,-0.025028845,0.004673334,0.003082672,-0.001218826,1.99,9.85,7.49,7.38,6.53
15/2/2013,0.036686391,-0.000558191,0.001210654,-0.000750962,2.01,13.88,7.43,7.51,6.45
22/2/2013,0.023445732,-0.009494555,-0.002697423,0.001315171,1.97,16.55,6.41,7.22,6.59
1/3/2013,-0.016902617,0.002537356,0.001678791,0.006379585,1.86,14.58,6.68,7.4,7.27
8/3/2013,-0.012480363,0.023528309,0.0216946,0.021814114,2.06,13.15,9.19,9.73,9.61
15/3/2013,0.031109147,0.001465336,0.006197029,0.008119697,2.01,16.67,9.35,10.41,10.5
22/3/2013,0.012171081,-0.001280293,-0.002445431,-0.000180995,1.93,18.09,9.21,10.14,10.48
29/3/2013,0.046489965,0.00695907,0.007899038,0.00461622,1.87,23.58,9.97,11.01,10.99
5/4/2013,0.012947079,-0.019459853,-0.010179263,-0.000900982,1.72,25.18,7.83,9.88,10.89
12/4/2013,0.043137881,0.028378002,0.02293411,0.020560916,1.75,30.58,10.89,12.4,13.17
19/4/2013,-0.016311839,-0.026963658,-0.021174377,-0.021383759,1.73,28.45,7.9,10.02,10.75
26/4/2013,0.081432464,0.022798888,0.01736048,0.011376975,1.7,38.91,10.36,11.93,12.01
3/5/2013,-0.025340148,0.030355201,0.020369874,0.017766271,1.78,35.39,13.71,14.21,14
10/5/2013,0.00738607,0.017148888,0.011907889,0.009649123,1.9,36.39,15.66,15.57,15.1
17/5/2013,0.048024049,0.018156666,0.020680107,0.015638575,1.95,42.94,17.76,17.96,16.9
24/5/2013,-0.036658738,-0.011379076,-0.010681587,-0.003336185,2.01,37.7,16.42,16.7,16.51
31/5/2013,-0.060566449,-0.000944855,-0.011482434,-0.012273625,2.16,29.36,16.31,15.36,15.08
7/6/2013,0.030689549,0.003868971,0.007801664,0.008776503,2.17,33.33,16.76,16.26,16.09
14/6/2013,-0.017925448,-0.013189448,-0.010149665,-0.011715049,2.14,30.94,15.22,15.08,14.73
21/6/2013,-0.013670383,-0.019354279,-0.021115746,-0.017955199,2.52,29.15,12.99,12.65,12.67
28/6/2013,-0.030042586,0.013718028,0.008699512,0.007455401,2.52,25.27,14.54,13.63,13.51
5/7/2013,0.033367925,0.022350271,0.015928892,0.01515285,2.73,29.45,17.1,15.44,15.23
12/7/2013,0.054615682,0.034671221,0.02962578,0.021695739,2.61,36.52,21.16,18.86,17.73
